Quantidade de Valores,Bubble,Insertion,Selection,QuickSort
0,0,0,0,0
100,2596,99,0,1
200,9071,199,0,1
300,21265,299,0,1
400,38824,399,0,1
500,64889,499,0,1
600,90007,599,0,1
700,124842,699,0,1
800,152794,799,0,1
900,201893,899,0,1
1000,256725,999,0,1
1100,307291,1099,0,1
1200,367000,1199,0,1
1300,421960,1299,0,1
1400,506540,1399,0,1
1500,554314,1499,0,1
1600,634955,1599,0,1
1700,719807,1699,0,1
1800,799672,1799,0,1
1900,896950,1899,0,1
2000,964320,1999,0,1
2100,1104619,2099,0,1
2200,1220787,2199,0,1
2300,1293974,2299,0,1
2400,1435048,2399,0,1
2500,1540875,2499,0,1
2600,1709171,2599,0,1
2700,1861045,2699,0,1
2800,1934297,2799,0,1
2900,2111305,2899,0,1
3000,2255307,2999,0,1
3100,2470573,3099,0,1
3200,2547324,3199,0,1
3300,2712869,3299,0,1
3400,2856279,3399,0,1
3500,3112985,3499,0,1
3600,3231538,3599,0,1
3700,3423120,3699,0,1
3800,3628929,3799,0,1
3900,3789927,3899,0,1
4000,3937807,3999,0,1
4100,4161089,4099,0,1
4200,4433879,4199,0,1
4300,4582497,4299,0,1
4400,4850467,4399,0,1
4500,5087044,4499,0,1
4600,5340429,4599,0,1
4700,5478555,4699,0,1
4800,5844026,4799,0,1
4900,5967473,4899,0,1
5000,6159297,4999,0,1
5100,6528832,5099,0,1
5200,6695164,5199,0,1
5300,7206425,5299,0,1
5400,7297315,5399,0,1
5500,7456166,5499,0,1
5600,7728372,5599,0,1
5700,8157657,5699,0,1
5800,8435896,5799,0,1
5900,8562368,5899,0,1
6000,9048467,5999,0,2
6100,9267203,6099,0,1
6200,9674711,6199,0,1
6300,9798174,6299,0,1
6400,10346349,6399,0,1
6500,10676330,6499,0,1
6600,10864297,6599,0,1
6700,11162388,6699,0,1
6800,11565876,6799,0,1
6900,11777176,6899,0,1
7000,12048949,6999,0,1
7100,12499742,7099,0,1
7200,12955970,7199,0,2
7300,13289290,7299,0,1
7400,13855782,7399,0,1
7500,14080835,7499,0,1
7600,14673528,7599,0,1
7700,14944807,7699,0,1
7800,15227468,7799,0,1
7900,15470053,7899,0,1
8000,15955419,7999,0,1
8100,16429883,8099,0,1
8200,16787380,8199,0,1
8300,17224112,8299,0,3
8400,17723071,8399,0,1
8500,18134775,8499,0,1
8600,18635752,8599,0,1
8700,18765834,8699,0,1
8800,19215328,8799,0,1
8900,19864789,8899,0,1
9000,20080466,8999,0,1
9100,20417973,9099,0,1
9200,21011016,9199,0,1
9300,21522415,9299,0,1
9400,22217817,9399,0,1
9500,22700160,9499,0,1
9600,23189128,9599,0,1
9700,23577427,9699,0,1
9800,24083698,9799,0,1
9900,24403312,9899,0,1
10000,25255638,9999,0,1
